"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","ampd","No","Yes"
39,No,0.820856631144821,0.202812033719057,1,3.12,0.202812033719057,100,0
61,No,0.99999993912365,0.215112994980096,2,2.72,0.215112994980096,100,0
141,No,0.966141403145284,0.177688247099075,2,2.58,0.177688247099075,100,0
158,No,1,0.411323613593077,1,2.65,0.411323613593077,100,0
281,No,0.999999995714948,0.0445837005396096,2,2.71,0.0445837005396096,100,0
368,No,0.999997334365897,0.216814797608646,2,2.72,0.216814797608646,100,0
390,No,0.99995427662082,0.640531033874218,1,2.55,0.640531033874218,0,100
462,No,0.999997845588427,0.197611207011226,2,2.65,0.197611207011226,100,0
479,No,0.999999969881818,0.423506519545343,1,3.08,0.423506519545343,100,0
520,No,0.999999968460853,0.206861384505883,2,2.56,0.206861384505883,100,0
