instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,No(%),Yes(%)
39,No,0.7972342270482929,0.17821318147823398,1,2.73,0.17821318147823398,100,0
61,No,0.9999999442908521,0.43896991291194,1,2.9,0.43896991291194,100,0
141,No,0.96663476504443,0.360391987450983,1,2.56,0.360391987450983,100,0
158,No,1.0,0.39990246720166206,1,3.06,0.39990246720166206,100,0
281,No,0.9999999965567841,0.0865963654578759,1,2.73,0.0865963654578759,100,0
368,No,0.999996962437962,0.439761439129214,1,2.64,0.439761439129214,100,0
390,No,0.999949070416431,0.643626766643389,1,2.63,0.643626766643389,0,100
462,No,0.999996889466629,0.412911357429516,1,2.52,0.412911357429516,100,0
479,No,0.999999962231766,0.42716096633770007,1,2.58,0.42716096633770007,100,0
520,No,0.9999999715587221,0.39623417956481205,1,2.54,0.39623417956481205,100,0
