instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,No(%),Yes(%)
17,Yes,0.46780619304969895,0.09,1,5.95,0.0896141784378043,100,0
53,Yes,0.51597972783583,0.0508657139803474,1,5.75,0.0508657139803474,100,0
62,Yes,0.4162966825535771,0.11,1,5.34,0.114323758968931,100,0
79,Yes,0.8593200808197579,0.0593259652566784,3,5.49,0.0593259652566784,0,100
135,Yes,0.31196514796545805,0.07,4,5.05,0.066560395983485,100,0
149,Yes,0.6630777157147401,0.10733800175627999,1,5.67,0.10733800175627999,0,100
216,Yes,0.7095700353215649,0.0300977837310014,1,5.48,0.0300977837310014,0,100
241,Yes,0.9440229270709319,-0.0154451549660272,4,5.02,0.0154451549660272,0,100
349,Yes,0.8145496726201971,-0.00518694988955914,1,5.45,0.00518694988955914,0,100
359,Yes,0.4302752721145351,0.15,1,5.64,0.14931011109199,100,0
